model_name,size
HOM_BHCabinet_MV1_1,"(2438, 914, 609)"
HOM_BHCabinet_MV1_2,"(2438, 914, 609)"
HOM_BHCabinet_MV1_3,"(2438, 914, 609)"
HOM_BHCabinet_MV1_4,"(2438, 914, 609)"
HOM_BHCabinet_MV1_5,"(2438, 914, 609)"
HOM_BHCabinet_MV1_6,"(2438, 914, 609)"
HOM_BHCabinet_MMV1_1,"(2438, 914, 609)"
HOM_BHCabinet_MMV1_2,"(2438, 914, 609)"
HOM_BHCabinet_MMV1_3,"(2438, 914, 609)"
HOM_BHCabinet_MMV1_4,"(2438, 914, 609)"
HOM_BHCabinet_MMV1_5,"(2438, 914, 609)"
HOM_BHCabinet_MMV1_6,"(2438, 914, 609)"
HOM_BHCabinet_IV1_1,"(2438, 914, 609)"
HOM_BHCabinet_IV1_2,"(2438, 914, 609)"
HOM_BHCabinet_IV1_3,"(2438, 914, 609)"
HOM_BHCabinet_IV1_4,"(2438, 914, 609)"
HOM_BHCabinet_IV1_5,"(2438, 914, 609)"
HOM_BHCabinet_IV1_6,"(2438, 914, 609)"
HOM_BHCabinet_SV1_1,"(2438, 914, 609)"
HOM_BHCabinet_SV1_2,"(2438, 914, 609)"
HOM_BHCabinet_SV1_3,"(2438, 914, 609)"
HOM_BHCabinet_SV1_4,"(2438, 914, 609)"
HOM_BHCabinet_SV1_5,"(2438, 914, 609)"
HOM_BHCabinet_SV1_6,"(2438, 914, 609)"
HOM_BHCabinet_MV2_1,"(2438, 914, 609)"
HOM_BHCabinet_MV2_2,"(2438, 914, 609)"
HOM_BHCabinet_MV2_3,"(2438, 914, 609)"
HOM_BHCabinet_MV2_4,"(2438, 914, 609)"
HOM_BHCabinet_MV2_5,"(2438, 914, 609)"
HOM_BHCabinet_MV2_6,"(2438, 914, 609)"
HOM_BHCabinet_MMV2_1,"(2438, 914, 609)"
HOM_BHCabinet_MMV2_2,"(2438, 914, 609)"
HOM_BHCabinet_MMV2_3,"(2438, 914, 609)"
HOM_BHCabinet_MMV2_4,"(2438, 914, 609)"
HOM_BHCabinet_MMV2_5,"(2438, 914, 609)"
HOM_BHCabinet_MMV2_6,"(2438, 914, 609)"
HOM_BHCabinet_IV2_1,"(2438, 914, 609)"
HOM_BHCabinet_IV2_2,"(2438, 914, 609)"
HOM_BHCabinet_IV2_3,"(2438, 914, 609)"
HOM_BHCabinet_IV2_4,"(2438, 914, 609)"
HOM_BHCabinet_IV2_5,"(2438, 914, 609)"
HOM_BHCabinet_IV2_6,"(2438, 914, 609)"
HOM_BHCabinet_SV2_1,"(2438, 914, 609)"
HOM_BHCabinet_SV2_2,"(2438, 914, 609)"
HOM_BHCabinet_SV2_3,"(2438, 914, 609)"
HOM_BHCabinet_SV2_4,"(2438, 914, 609)"
HOM_BHCabinet_SV2_5,"(2438, 914, 609)"
HOM_BHCabinet_SV2_6,"(2438, 914, 609)"
HOM_BHCabinet_MV3_1,"(2438, 914, 609)"
HOM_BHCabinet_MV3_2,"(2438, 914, 609)"
HOM_BHCabinet_MV3_3,"(2438, 914, 609)"
HOM_BHCabinet_MV3_4,"(2438, 914, 609)"
HOM_BHCabinet_MV3_5,"(2438, 914, 609)"
HOM_BHCabinet_MV3_6,"(2438, 914, 609)"
HOM_BHCabinet_MMV3_1,"(2438, 914, 609)"
HOM_BHCabinet_MMV3_2,"(2438, 914, 609)"
HOM_BHCabinet_MMV3_3,"(2438, 914, 609)"
HOM_BHCabinet_MMV3_4,"(2438, 914, 609)"
HOM_BHCabinet_MMV3_5,"(2438, 914, 609)"
HOM_BHCabinet_MMV3_6,"(2438, 914, 609)"
HOM_BHCabinet_IV3_1,"(2438, 914, 609)"
HOM_BHCabinet_IV3_2,"(2438, 914, 609)"
