Model Name,Material,Type,Shown Name,Theme,Description,Dimensions,First Category,Second Category,Area/s,Image Link,S3 Link
HOM_BHCabinet_MV1_1,Granite,Bottom Kitchen Cabinet,Nordic Modern Bottom Cabinet,Modern,Organic,X : 800mm Y: 643mm Z: 825mm,Granite,,Kitchen,https://s3.console.aws.amazon.com/s3/object/homeez-resources?region=ap-southeast-1&prefix=3d_models_homeezv2/thumbnails/Cabinet_Storage/Variant/Modern/HOM_BHCabinet_MV1_1.jpg,https://s3.console.aws.amazon.com/s3/object/homeez-resources?region=ap-southeast-1&prefix=3d_models_homeezv2/Base/Cabinet_Storage/Variants/Modern/HOM_BHCabinet_MV1_1.glb
HOM_BHCabinet_MV1_2,SinteredStone,Bottom Kitchen Cabinet,Nordic Modern Bottom Cabinet,Modern,Organic,X : 800mm Y: 643mm Z: 825mm,SinteredStone,,Kitchen,https://s3.console.aws.amazon.com/s3/object/homeez-resources?region=ap-southeast-1&prefix=3d_models_homeezv2/thumbnails/Cabinet_Storage/Variant/Modern/HOM_BHCabinet_MV1_2.jpg,https://s3.console.aws.amazon.com/s3/object/homeez-resources?region=ap-southeast-1&prefix=3d_models_homeezv2/Base/Cabinet_Storage/Variants/Modern/HOM_BHCabinet_MV1_2.glb
HOM_BHCabinet_MV1_3,SolidSurface,Bottom Kitchen Cabinet,Nordic Modern Bottom Cabinet,Modern,Organic,X : 800mm Y: 643mm Z: 825mm,SolidSurface,,Kitchen,https://s3.console.aws.amazon.com/s3/object/homeez-resources?region=ap-southeast-1&prefix=3d_models_homeezv2/thumbnails/Cabinet_Storage/Variant/Modern/HOM_BHCabinet_MV1_3.jpg,https://s3.console.aws.amazon.com/s3/object/homeez-resources?region=ap-southeast-1&prefix=3d_models_homeezv2/Base/Cabinet_Storage/Variants/Modern/HOM_BHCabinet_MV1_3.glb
HOM_BHCabinet_MV1_4,CompactTop,Bottom Kitchen Cabinet,Nordic Modern Bottom Cabinet,Modern,Organic,X : 800mm Y: 643mm Z: 825mm,CompactTop,,Kitchen,https://s3.console.aws.amazon.com/s3/object/homeez-resources?region=ap-southeast-1&prefix=3d_models_homeezv2/thumbnails/Cabinet_Storage/Variant/Modern/HOM_BHCabinet_MV1_4.jpg,https://s3.console.aws.amazon.com/s3/object/homeez-resources?region=ap-southeast-1&prefix=3d_models_homeezv2/Base/Cabinet_Storage/Variants/Modern/HOM_BHCabinet_MV1_4.glb
HOM_BHCabinet_MV1_5,Quartz,Bottom Kitchen Cabinet,Nordic Modern Bottom Cabinet,Modern,Organic,X : 800mm Y: 643mm Z: 825mm,Quartz,,Kitchen,https://s3.console.aws.amazon.com/s3/object/homeez-resources?region=ap-southeast-1&prefix=3d_models_homeezv2/thumbnails/Cabinet_Storage/Variant/Modern/HOM_BHCabinet_MV1_5.jpg,https://s3.console.aws.amazon.com/s3/object/homeez-resources?region=ap-southeast-1&prefix=3d_models_homeezv2/Base/Cabinet_Storage/Variants/Modern/HOM_BHCabinet_MV1_5.glb
HOM_BHCabinet_MV1_6,Laminate,Bottom Kitchen Cabinet,Nordic Modern Bottom Cabinet,Modern,Organic,X : 800mm Y: 643mm Z: 825mm,Laminate,,Kitchen,https://s3.console.aws.amazon.com/s3/object/homeez-resources?region=ap-southeast-1&prefix=3d_models_homeezv2/thumbnails/Cabinet_Storage/Variant/Modern/HOM_BHCabinet_MV1_6.jpg,https://s3.console.aws.amazon.com/s3/object/homeez-resources?region=ap-southeast-1&prefix=3d_models_homeezv2/Base/Cabinet_Storage/Variants/Modern/HOM_BHCabinet_MV1_6.glb
HOM_BHCabinet_MMV1_1,Granite,Bottom Kitchen Cabinet,White Minimalist Cabinet,Minimalistic,Organic,X : 800mm Y: 643mm Z: 825mm,Granite,,Kitchen,https://s3.console.aws.amazon.com/s3/object/homeez-resources?region=ap-southeast-1&prefix=3d_models_homeezv2/thumbnails/Cabinet_Storage/Variant/Minimalistic/HOM_BHCabinet_MMV1_1.jpg,https://s3.console.aws.amazon.com/s3/object/homeez-resources?region=ap-southeast-1&prefix=3d_models_homeezv2/Base/Cabinet_Storage/Variants/Minimalistic/HOM_BHCabinet_MMV1_1.glb
HOM_BHCabinet_MMV1_2,SinteredStone,Bottom Kitchen Cabinet,White Minimalist Cabinet,Minimalistic,Organic,X : 800mm Y: 643mm Z: 825mm,SinteredStone,,Kitchen,https://s3.console.aws.amazon.com/s3/object/homeez-resources?region=ap-southeast-1&prefix=3d_models_homeezv2/thumbnails/Cabinet_Storage/Variant/Minimalistic/HOM_BHCabinet_MMV1_2.jpg,https://s3.console.aws.amazon.com/s3/object/homeez-resources?region=ap-southeast-1&prefix=3d_models_homeezv2/Base/Cabinet_Storage/Variants/Minimalistic/HOM_BHCabinet_MMV1_2.glb
HOM_BHCabinet_MMV1_3,SolidSurface,Bottom Kitchen Cabinet,White Minimalist Cabinet,Minimalistic,Organic,X : 800mm Y: 643mm Z: 825mm,SolidSurface,,Kitchen,https://s3.console.aws.amazon.com/s3/object/homeez-resources?region=ap-southeast-1&prefix=3d_models_homeezv2/thumbnails/Cabinet_Storage/Variant/Minimalistic/HOM_BHCabinet_MMV1_3.jpg,https://s3.console.aws.amazon.com/s3/object/homeez-resources?region=ap-southeast-1&prefix=3d_models_homeezv2/Base/Cabinet_Storage/Variants/Minimalistic/HOM_BHCabinet_MMV1_3.glb
HOM_BHCabinet_MMV1_4,CompactTop,Bottom Kitchen Cabinet,White Minimalist Cabinet,Minimalistic,Organic,X : 800mm Y: 643mm Z: 825mm,CompactTop,,Kitchen,https://s3.console.aws.amazon.com/s3/object/homeez-resources?region=ap-southeast-1&prefix=3d_models_homeezv2/thumbnails/Cabinet_Storage/Variant/Minimalistic/HOM_BHCabinet_MMV1_4.jpg,https://s3.console.aws.amazon.com/s3/object/homeez-resources?region=ap-southeast-1&prefix=3d_models_homeezv2/Base/Cabinet_Storage/Variants/Minimalistic/HOM_BHCabinet_MMV1_4.glb
